Leaf Number,Latitude Range,Longitude Range
78,"(4.514557600021362, 6.791105508804321)","(-78.07337951660156, -26.457131385803223)"
79,"(6.791105508804321, 16.581854820251465)","(-98.74539947509766, -96.16933822631836)"
80,"(6.791105508804321, 16.581854820251465)","(-96.16933822631836, -95.1599349975586)"
81,"(6.791105508804321, 16.581854820251465)","(-95.1599349975586, -93.8277702331543)"
82,"(6.791105508804321, 16.581854820251465)","(-93.8277702331543, -92.96091079711914)"
83,"(16.581854820251465, 20.890522003173828)","(-98.74539947509766, -98.03787231445312)"
84,"(20.890522003173828, 24.69841480255127)","(-98.74539947509766, -98.03787231445312)"
85,"(16.581854820251465, 17.76087188720703)","(-98.03787231445312, -92.96091079711914)"
86,"(17.76087188720703, 24.69841480255127)","(-98.03787231445312, -92.96091079711914)"
87,"(6.791105508804321, 21.597814559936523)","(-92.96091079711914, -87.44680786132812)"
88,"(6.791105508804321, 21.597814559936523)","(-87.44680786132812, -83.96471405029297)"
89,"(6.791105508804321, 21.597814559936523)","(-83.96471405029297, -83.72162246704102)"
90,"(6.791105508804321, 21.597814559936523)","(-83.72162246704102, -26.457131385803223)"
91,"(21.597814559936523, 24.56217098236084)","(-92.96091079711914, -87.28227996826172)"
92,"(21.597814559936523, 24.56217098236084)","(-87.28227996826172, -26.457131385803223)"
93,"(24.56217098236084, 24.69841480255127)","(-92.96091079711914, -82.15133285522461)"
94,"(24.56217098236084, 24.69841480255127)","(-82.15133285522461, -26.457131385803223)"
95,"(24.69841480255127, 26.20325756072998)","(-98.74539947509766, -97.17604064941406)"
96,"(26.20325756072998, 29.394197463989258)","(-98.74539947509766, -97.17604064941406)"
97,"(24.69841480255127, 25.437294006347656)","(-97.17604064941406, -82.77507781982422)"
98,"(25.437294006347656, 29.394197463989258)","(-97.17604064941406, -82.77507781982422)"
99,"(29.394197463989258, 34.13657188415527)","(-98.74539947509766, -97.64560317993164)"
100,"(29.394197463989258, 34.13657188415527)","(-97.64560317993164, -95.07681655883789)"
101,"(29.394197463989258, 30.459107398986816)","(-95.07681655883789, -82.77507781982422)"
102,"(30.459107398986816, 34.13657188415527)","(-95.07681655883789, -82.77507781982422)"
103,"(24.69841480255127, 25.89219379425049)","(-82.77507781982422, -80.5726203918457)"
104,"(25.89219379425049, 29.580571174621582)","(-82.77507781982422, -80.5726203918457)"
105,"(24.69841480255127, 29.580571174621582)","(-80.5726203918457, -79.25210952758789)"
106,"(24.69841480255127, 29.580571174621582)","(-79.25210952758789, -26.457131385803223)"
107,"(29.580571174621582, 29.683061599731445)","(-82.77507781982422, -82.33050918579102)"
108,"(29.683061599731445, 34.13657188415527)","(-82.77507781982422, -82.33050918579102)"
109,"(29.580571174621582, 32.91788291931152)","(-82.33050918579102, -26.457131385803223)"
110,"(32.91788291931152, 34.13657188415527)","(-82.33050918579102, -26.457131385803223)"
111,"(34.13657188415527, 34.807058334350586)","(-98.74539947509766, -89.60701370239258)"
112,"(34.807058334350586, 38.77504920959473)","(-98.74539947509766, -89.60701370239258)"
113,"(34.13657188415527, 35.4094295501709)","(-89.60701370239258, -84.2223129272461)"
114,"(35.4094295501709, 38.77504920959473)","(-89.60701370239258, -84.2223129272461)"
115,"(34.13657188415527, 38.77504920959473)","(-84.2223129272461, -81.68807601928711)"
116,"(34.13657188415527, 38.77504920959473)","(-81.68807601928711, -79.17662048339844)"
117,"(34.13657188415527, 38.77504920959473)","(-79.17662048339844, -75.34147262573242)"
