id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
13091,Enicurus scouleri,Muscicapidae,Animalia,Chordata,Enicurus,Aves,Enicurus,45518114,"[2, 0]",6.5,[8],"[293, 66, 326, 427, 103]","[34, 188, 98, 66]","[43, 53, 40, 44, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",355720.0,1546.0,1435.0,2.0,Decreasing
13092,Enicurus leschenaulti,Muscicapidae,Animalia,Chordata,Enicurus,Aves,Enicurus,333311,"[2, 3, 1]",19.1,[8],"[186, 303, 234, 73, 51]","[1, 49, 126, 223, 45]","[86, 5, 69, 56, 34]","[300.0, 80.0, 30.0, 500.0]",80.0,[8],,29248.0,21798.0,21.0,Decreasing
13171,Psophocichla litsitsirupa,Turdidae,Animalia,Chordata,Psophocichla,Aves,Psophocichla,45515430,"[2, 0]",,[8],[],"[88, 155, 185, 206, 132]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",60255.0,3412.0,3021.0,,Increasing
13272,Pogonocichla stellata,Muscicapidae,Animalia,Chordata,Pogonocichla,Aves,Pogonocichla,45510196,"[2, 0]",32.1,[8],[208],"[237, 15, 58, 276, 237]","[17, 84, 74, 43, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",47333.0,474.0,411.0,1.0,Decreasing
13392,Dicaeum agile,Dicaeidae,Animalia,Chordata,Dicaeum,Aves,Dicaeum,336165,"[2, 0]",,[8],"[424, 429, 569, 277, 218]","[222, 279, 49, 36, 2]","[58, 30, 32, 5, 52]",,,"[13, 13]",,1987.0,1928.0,15.0,Stable
13456,Orthonyx temminckii,Orthonychidae,Animalia,Chordata,Orthonyx,Aves,Orthonyx,332453,"[1, 2]",,[8],"[449, 204, 461, 299, 250]","[126, 222, 279, 276, 49]","[53, 58, 32, 93, 32]",,,[13],,5710.0,5267.0,72.0,Stable
13470,Acanthiza nana,Acanthizidae,Animalia,Chordata,Acanthiza,Aves,Acanthiza,45510160,"[2, 0]",74.6,[10],"[299, 135, 171, 7, 461]","[57, 63, 222, 279, 58]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",21063.0,,,1.0,Decreasing
13471,Acanthiza reguloides,Acanthizidae,Animalia,Chordata,Acanthiza,Aves,Acanthiza,45514005,"[2, 0]",475.0,[8],"[108, 446, 197, 465, 84]","[222, 56, 22, 25, 12]","[43, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",9729.0,242.0,182.0,2.0,Stable
13494,Gerygone igata,Acanthizidae,Animalia,Chordata,Gerygone,Aves,Gerygone,52570273,"[2, 0, 0]",3765.08,[8],"[222, 105, 483, 107, 67]","[157, 273, 56, 1, 22]","[32, 71, 53, 95, 58]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[19, 0, 15]",2006.0,,,,Stable
13510,Sericornis frontalis,Acanthizidae,Animalia,Chordata,Sericornis,Aves,Sericornis,311621,"[2, 0]","[435.0, 461.0, 465.14]",[8],"[33, 333]","[126, 279, 126]","[32, 73]",,,"[9, 5, 8]",1068.0,1324.0,1094.0,,Decreasing
13522,Aphelocephala leucopsis,Acanthizidae,Animalia,Chordata,Aphelocephala,Aves,Aphelocephala,45512240,"[2, 0]",2.4,"[0, 8]","[278, 137, 325, 531, 505]","[122, 134, 225, 177, 158]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",31786.0,373.0,301.0,5.0,Decreasing
13532,Pardalotus striatus,Pardalotidae,Animalia,Chordata,Pardalotus,Aves,Pardalotus,331016,"[2, 0]",,[8],"[91, 7, 171, 461]","[126, 222, 279, 276, 126]","[78, 32, 34]",,,[13],,558.0,456.0,,Decreasing
13540,Smicrornis brevirostris,Acanthizidae,Animalia,Chordata,Smicrornis,Aves,Smicrornis,45509698,"[2, 0]",,[8],[],"[252, 134, 158, 15, 177]","[43, 53, 90, 98, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",36606.0,1003.0,958.0,1.0,Decreasing
13632,Baeolophus bicolor,Paridae,Animalia,Chordata,Baeolophus,Aves,Baeolophus,918913,"[2, 0]",79.0,[8],"[29, 578, 513, 117]","[134, 252, 58, 252, 134]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",44162.0,,,10.0,Unknown
13709,Anthus rufulus,Motacillidae,Animalia,Chordata,Anthus,Aves,Anthus,45509384,"[2, 0]",343.0,[8],[],"[258, 128, 170, 57, 63]","[98, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",296497.0,,,1.0,Decreasing
13820,Ploceus xanthops,Ploceidae,Animalia,Chordata,Ploceus,Aves,Ploceus,794916,"[2, 0, 0]",2264.6,[8],"[320, 285, 251, 236, 198]","[190, 47, 188, 40, 256]","[40, 32]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",354.0,290.0,261.0,,Stable
13851,Passer montanus,Passeridae,Animalia,Chordata,Passer,Aves,Passer,130700,"[2, 0]",,[],"[349, 409]","[58, 276, 126, 128, 146]",[],,,[13],,1178.0,1047.0,5.0,nan
13920,Sporopipes frontalis,Ploceidae,Animalia,Chordata,Sporopipes,Aves,Sporopipes,45518320,"[2, 0]","[10.3, 12.5]",[8],"[189, 391, 131, 486, 231]","[34, 188, 66, 152]","[53, 5, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",15085.0,,,1.0,Decreasing
14012,Vidua regia,Viduidae,Animalia,Chordata,Vidua,Aves,Vidua,1018911,"[2, 0]",,[8],"[305, 74, 570, 22, 101]","[173, 185, 83, 110, 40]","[81, 54, 42, 53, 20]",,,[13],,738.0,625.0,12.0,Stable
14030,Uraeginthus cyanocephalus,Estrildidae,Animalia,Chordata,Uraeginthus,Aves,Uraeginthus,1052070,"[2, 0]","[41.0, 43.0, 47.5, 52.2]",[8],"[429, 477, 277, 50, 497]","[57, 63, 241, 222, 58]","[53, 11, 56, 53, 5]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",,,,160.0,Stable
14069,Neochmia temporalis,Estrildidae,Animalia,Chordata,Neochmia,Aves,Neochmia,45512341,"[2, 0]",6.4,"[0, 8]",[],"[134, 122, 252, 134, 220]","[75, 42, 43, 53, 74]","[5000.0, 1000.0]",20.0,"[11, 12]",8769.0,206.0,193.0,,Decreasing
14104,Macronyx croceus,Motacillidae,Animalia,Chordata,Macronyx,Aves,Macronyx,45518572,"[2, 0]","[40.0, 43.0]",[8],"[324, 379, 268, 293, 537]","[34, 188, 66]","[53, 98, 82, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",409713.0,,,26.0,Decreasing
14115,Plocepasser mahali,Passeridae,Animalia,Chordata,Plocepasser,Aves,Plocepasser,458709,"[2, 0, 0]","[1305.76, 1586.76]",[8],"[33, 126, 311, 333, 409]","[222, 58, 279, 276, 49]","[34, 32]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",14188.0,10209.0,9585.0,40.0,Stable
14167,Petroica rosea,Petroicidae,Animalia,Chordata,Petroica,Aves,Petroica,45510341,"[2, 0]",,[8],[],"[206, 231, 241, 46, 29]","[32, 65, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",1780516.0,,,278.0,Decreasing
14169,Petroica goodenovii,Petroicidae,Animalia,Chordata,Petroica,Aves,Petroica,1039166,"[2, 0]",,[8],"[539, 395, 34, 73, 323]","[1, 101, 160, 231, 17]","[5, 78, 78, 34, 32]",,,[13],,483.0,407.0,,Stable
14172,Petroica rodinogaster,Petroicidae,Animalia,Chordata,Petroica,Aves,Petroica,915251,"[2, 0]","[774.0, 810.0, 1120.0]","[0, 8]","[196, 129, 386, 537, 142]","[34, 66, 72, 50, 188]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",68239.0,801.0,738.0,,Stable
14306,Chiroxiphia caudata,Pipridae,Animalia,Chordata,Chiroxiphia,Aves,Chiroxiphia,45515315,"[2, 0]",,[8],[],"[108, 117, 9, 11, 116]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",62035.0,,,4.0,Increasing
14492,Pomatostomus temporalis,Pomatostomidae,Animalia,Chordata,Pomatostomus,Aves,Pomatostomus,45510789,"[2, 0]","[115.0, 163.0, 156.0]","[0, 8]","[333, 353, 318, 292, 4]","[241, 143, 63, 177, 13]","[6, 22, 53, 56, 32]","[5000.0, 1000.0]",20.0,"[4, 11, 11, 12]",,79790.0,73551.0,,Stable
14610,Pycnonotus luteolus,Pycnonotidae,Animalia,Chordata,Pycnonotus,Aves,Pycnonotus,45511708,"[2, 0]",126.0,[8],"[475, 119, 463, 185, 318]","[134, 122, 146, 170, 177]","[82, 5, 81, 90, 85]","[1000.0, 5000.0]",10.0,"[11, 12]",35448.0,435.0,325.0,11.0,Decreasing
14635,Alophoixus pallidus,Pycnonotidae,Animalia,Chordata,Alophoixus,Aves,Alophoixus,45509732,"[2, 0]","[70.3, 87.3]",[8],"[95, 135, 384]","[57, 222, 58, 126, 276]","[82, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",,4135.0,3975.0,,Stable
14658,Spizixos semitorques,Pycnonotidae,Animalia,Chordata,Spizixos,Aves,Spizixos,45518441,"[2, 0]",,[8],[],"[34, 66, 152]","[82, 17, 74, 42, 38]","[1000.0, 5000.0]",10.0,"[11, 12]",81264.0,,,1.0,Stable
14881,Mimus longicaudatus,Mimidae,Animalia,Chordata,Mimus,Aves,Mimus,790762,"[2, 0]",5.14,[],"[268, 189, 386, 324]","[188, 66, 66]",[],"[2000.0, 500.0]",40.0,[16],6064.0,1176.0,1078.0,,nan
14891,Toxostoma bendirei,Mimidae,Animalia,Chordata,Toxostoma,Aves,Toxostoma,324410,"[2, 0]","[1500.0, 51.21, 500.0, 1143.33, 993.5]","[0, 8]","[84, 383, 150, 504, 145]","[108, 11, 226, 64, 124]","[20, 82, 53, 32, 53]",,,"[13, 9, 6, 8]",,355.0,237.0,10.0,Stable
14926,Lamprotornis pulcher,Sturnidae,Animalia,Chordata,Lamprotornis,Aves,Lamprotornis,45510621,"[2, 0]","[644.0, 531.0, 498.0, 498.0, 566.0]",[8],"[367, 194, 299, 331, 517]","[241, 63, 222, 222, 118]","[62, 56, 32]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",,,,61.0,Decreasing
14978,Onychognathus tristramii,Sturnidae,Animalia,Chordata,Onychognathus,Aves,Onychognathus,795262,"[2, 0]",20.78,[],"[458, 442]","[188, 66]",[],"[2000.0, 500.0]",40.0,[16],1704.0,,,,nan
15035,Melanotis caerulescens,Mimidae,Animalia,Chordata,Melanotis,Aves,Melanotis,45514198,"[2, 0]",156.0,"[0, 8]","[35, 25, 84, 181, 560]","[114, 108, 20, 139, 259]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",24650.0,398.0,209.0,2.0,Decreasing
15256,Chamaea fasciata,Sylviidae,Animalia,Chordata,Chamaea,Aves,Chamaea,1037651,"[1, 2]",,[7],"[324, 293, 537]","[188, 66, 66]","[42, 82, 72, 78, 32]",,,[13],,604.0,561.0,,Decreasing
15302,Sylvia borin,Sylviidae,Animalia,Chordata,Sylvia,Aves,Sylvia,1055691,"[2, 0]",4.16,[8],"[215, 2, 27, 371, 187]","[56, 98, 108, 117, 9]",[32],"[4000.0, 500.0]",,[16],692.0,,197.0,,Stable
16006,Myiarchus ferox,Tyrannidae,Animalia,Chordata,Myiarchus,Aves,Myiarchus,328465,"[2, 0]","[17.1, 0.82, 7.8, 18.25, 26.1]","[8, 2, 1]","[369, 569, 295, 123, 259]","[138, 162, 68, 62, 59]","[82, 7, 42, 59, 82]",,,"[13, 9, 5, 13, 8]",,1038.0,763.0,912.0,Stable
16079,Contopus sordidulus,Tyrannidae,Animalia,Chordata,Contopus,Aves,Contopus,1025209,"[1, 2]",,[8],"[2, 27, 452]","[56, 98, 108, 108]","[82, 17, 32]",,,[13],185.0,120.0,114.0,,Unknown
16623,Empidonax atriceps,Tyrannidae,Animalia,Chordata,Empidonax,Aves,Empidonax,45515944,"[2, 0]","[1750.0, 1600.0]","[11, 8]","[487, 436, 443, 498, 86]","[110, 234, 110, 264, 197]","[98, 38, 50, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",2007.0,171.0,167.0,,Stable
16765,Attila rufus,Tyrannidae,Animalia,Chordata,Attila,Aves,Attila,45515204,"[2, 0]","[65.0, 57.0]",[8],"[152, 116, 581, 546]","[11, 254, 116, 117, 273]","[43, 48, 19, 53, 75]","[1000.0, 5000.0]",10.0,"[11, 12]",8411.0,,,,Decreasing
16782,Tyrannus tyrannus,Tyrannidae,Animalia,Chordata,Tyrannus,Aves,Tyrannus,1037755,"[2, 0]",,[7],"[198, 373, 488, 360, 74]","[47, 50, 239, 256, 110]","[54, 20, 81, 53, 32]",,,[13],442.0,316.0,278.0,,Decreasing
16972,Camptostoma obsoletum,Tyrannidae,Animalia,Chordata,Camptostoma,Aves,Camptostoma,45518437,"[2, 0]","[14.0, 15.0]",[],"[88, 568, 427, 368, 537]","[119, 34, 188, 98, 50]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",436678.0,,,2.0,nan
17009,Sayornis saya,Tyrannidae,Animalia,Chordata,Sayornis,Aves,Sayornis,919968,"[2, 0]",,[],"[471, 336, 75, 320, 74]","[256, 119, 88, 185, 47]","[53, 20]","[1000.0, 5000.0]",10.0,"[11, 12]",25187.0,1534.0,1413.0,2.0,nan
17050,Poecilotriccus plumbeiceps,Tyrannidae,Animalia,Chordata,Poecilotriccus,Aves,Poecilotriccus,47363684,"[2, 0]",,[8],[],"[33, 204, 33, 234, 185]",[32],"[1000.0, 5000.0]",10.0,"[12, 11]",,491.0,399.0,,Stable
17076,Cnemotriccus fuscatus,Tyrannidae,Animalia,Chordata,Cnemotriccus,Aves,Cnemotriccus,1179370,"[2, 0]","[133.0, 4.5, 21.28, 133.0, 76.0]",[8],"[189, 431, 380, 54, 268]","[81, 74, 236, 66, 188]","[82, 32]",,,"[9, 5, 8]",,1112.0,830.0,2.0,Stable
17174,Tachuris rubrigastra,Tyrannidae,Animalia,Chordata,Tachuris,Aves,Tachuris,914102,"[2, 0]",42.0,[8],"[476, 305, 381, 5, 535]","[173, 185, 33, 110, 1]","[44, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",142401.0,,,5.0,Stable
17328,Alectrurus risora,Tyrannidae,Animalia,Chordata,Alectrurus,Aves,Alectrurus,327954,"[2, 0]","[12.5, 12.5, 12.5, 13.3, 11.52]",[8],"[10, 279, 259, 242, 168]","[143, 135, 91, 180, 122]","[62, 24, 44, 42, 53]",,,"[11, 11, 11, 8]",,4420.0,3437.0,593.0,Stable
17634,Campethera nubica,Picidae,Animalia,Chordata,Campethera,Aves,Campethera,45516182,"[2, 0]",,[8],"[235, 525, 247, 148, 162]","[47, 1, 161, 148, 234]","[50, 17, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",7284.0,,182.0,1.0,Stable
18204,Melanerpes erythrocephalus,Picidae,Animalia,Chordata,Melanerpes,Aves,Melanerpes,791828,"[2, 0]",112.22,"[0, 8]","[506, 536, 556, 321, 51]","[29, 261, 224, 54, 37]","[30, 32]","[500.0, 200.0]",80.0,[16],,,,5.0,Stable
18206,Melanerpes chrysogenys,Picidae,Animalia,Chordata,Melanerpes,Aves,Melanerpes,327374,"[2, 0]","[51.0, 10.1, 34.77, 50.18, 6.69]",[8],"[429, 202, 98, 50, 400]","[187, 274, 195, 2, 240]","[66, 17, 82, 79, 8]",,,[8],,1120.0,993.0,26.0,Stable
18513,Selenidera maculirostris,Ramphastidae,Animalia,Chordata,Selenidera,Aves,Selenidera,45518396,"[2, 0]","[10.0, 11.0]",[8],"[293, 268, 537, 189, 324]","[34, 188, 66, 50]","[43, 74, 82, 90, 98]","[1000.0, 5000.0]",10.0,"[11, 12]",161330.0,,,5.0,Stable
19050,Poicephalus cryptoxanthus,Psittacidae,Animalia,Chordata,Poicephalus,Aves,Poicephalus,331137,"[2, 1, 3]",,[8],"[434, 522, 87, 529, 353]","[222, 279, 276, 49, 64]","[91, 78, 46, 78, 82]","[300.0, 500.0, 30.0, 80.0]",80.0,[8],,,,694.0,Unknown
19055,Poicephalus meyeri,Psittacidae,Animalia,Chordata,Poicephalus,Aves,Poicephalus,45514918,"[2, 0]","[15.0, 13.0]",[8],[],"[117, 25, 108, 9, 11]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",154141.0,,,23.0,Stable
19182,Aratinga weddellii,Psittacidae,Animalia,Chordata,Aratinga,Aves,Aratinga,45509660,"[2, 0]",,"[0, 8]",[208],"[237, 15, 58, 276, 126]","[17, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",31310.0,797.0,520.0,,Stable
19262,Enicognathus ferrugineus,Psittacidae,Animalia,Chordata,Enicognathus,Aves,Enicognathus,327666,"[2, 0]","[9.1, 2.45, 9.15]","[8, 12]","[569, 218, 497, 526, 26]","[153, 125, 179, 268, 222]","[56, 62, 5, 32, 32]",,,"[11, 11, 11, 8]",,192.0,178.0,2.0,Increasing
19568,Hydropsalis climacocerca,Caprimulgidae,Animalia,Chordata,Hydropsalis,Aves,Hydropsalis,790746,"[2, 0]",88.49,[8],"[135, 417, 574, 7, 91]","[222, 279, 58, 276, 126]",[32],"[2000.0, 500.0]",40.0,[16],,4083.0,3685.0,45.0,Stable
19765,Megascops asio,Strigidae,Animalia,Chordata,Megascops,Aves,Megascops,45515359,"[2, 0]","[24.0, 26.3]",[],"[157, 357, 398, 327, 556]","[114, 108, 25, 64, 273]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",71820.0,941.0,713.0,9.0,nan
19975,Athene cunicularia,Strigidae,Animalia,Chordata,Athene,Aves,Athene,1049687,"[2, 0]",500.0,[8],"[293, 268, 537, 324]","[34, 188, 66]","[53, 20, 43, 82, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",60479.0,,,2.0,Increasing
20012,Athene brama,Strigidae,Animalia,Chordata,Athene,Aves,Athene,331081,"[2, 0]","[20000.0, 25000.0, 22731.33, 19400.0]",[7],"[357, 27, 104, 371, 452]","[108, 124, 56, 22, 98]","[54, 95, 32]",,,"[16, 14, 8]",808.0,757.0,700.0,3.0,Decreasing
20504,Dromaius novaehollandiae,Dromaiidae,Animalia,Chordata,Dromaius,Aves,Dromaius,45518325,"[2, 0]",,[],[],"[34, 66, 248, 267, 98]",[82],"[1000.0, 5000.0]",10.0,"[11, 12]",127740.0,3404.0,3216.0,,nan
20535,Crypturellus soui,Tinamidae,Animalia,Chordata,Crypturellus,Aves,Crypturellus,45516512,"[2, 0]",,[8],[],"[33, 204, 33, 234, 185]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",171824.0,1024.0,731.0,3.0,Stable
20553,Crypturellus cinnamomeus,Tinamidae,Animalia,Chordata,Crypturellus,Aves,Crypturellus,45509295,"[2, 0]","[761.0, 923.0]",[8],"[109, 298, 230, 6, 522]","[63, 57, 276, 222, 118]","[32, 26]","[5000.0, 1000.0]",20.0,"[11, 12]",,47301.0,42445.0,360.0,Increasing
22038,Limnodynastes dumerilii,Limnodynastidae,Animalia,Chordata,Limnodynastes,Amphibia,Limnodynastes,795541,"[2, 0, 0]","[41.7, 160.97]",[],"[293, 324, 537]","[188, 66]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",,,,,nan
22084,Adelotus brevis,Limnodynastidae,Animalia,Chordata,Adelotus,Amphibia,Adelotus,45518253,"[2, 0]",,[8],[],"[34, 66]","[53, 20, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",10926.0,,,,Stable
22973,Leptodactylus fuscus,Leptodactylidae,Animalia,Chordata,Leptodactylus,Amphibia,Leptodactylus,313208,"[2, 0]",,[8],"[324, 268, 189, 386, 293]","[188, 88, 66, 66]","[82, 34, 32]",,,[13],,761.0,431.0,,Decreasing
23027,Thoropa miliaris,Cycloramphidae,Animalia,Chordata,Thoropa,Amphibia,Thoropa,45511751,"[2, 0]",10.0,[8],"[317, 478, 0, 531, 89]","[220, 225, 158, 144, 122]","[32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",240619.0,,1973.0,22.0,Stable
23455,Afrixalus fornasini,Hyperoliidae,Animalia,Chordata,Afrixalus,Amphibia,Afrixalus,47046733,"[2, 0, 0]",,[8],[],[222],"[82, 17, 32]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",,2509.0,2386.0,,Stable
23570,Litoria verreauxii,Pelodryadidae,Animalia,Chordata,Litoria,Amphibia,Litoria,795659,"[2, 0, 0]",,[8],"[89, 378, 463, 166]","[58, 258, 177, 177, 122]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",1500.0,,,,Stable
23611,Litoria rubella,Pelodryadidae,Animalia,Chordata,Litoria,Amphibia,Litoria,45516872,"[2, 0]",13.4,[],"[127, 305, 535, 101, 488]","[110, 127, 42, 173, 83]","[74, 53]","[1000.0, 5000.0]",10.0,"[11, 12]",271199.0,2863.0,2353.0,,nan
23968,Hyla chinensis,Hylidae,Animalia,Chordata,Hyla,Amphibia,Hyla,1018894,"[2, 1, 3]",,"[8, 12, 6]","[50, 218, 429, 497, 569]","[222, 222, 279, 49, 199]","[5, 85, 17, 78, 52]","[300.0, 500.0, 80.0, 30.0]",80.0,[8],,3318.0,1824.0,,Stable
24266,Pseudacris ornata,Hylidae,Animalia,Chordata,Pseudacris,Amphibia,Pseudacris,45518380,"[2, 0]",,[8],[],"[34, 66, 98]","[20, 53, 5, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",11299.0,,,1.0,Decreasing
24379,Osteopilus dominicensis,Hylidae,Animalia,Chordata,Osteopilus,Amphibia,Osteopilus,794874,"[2, 0]","[31.5, 104.61]",[8],"[529, 1, 85, 493, 87]","[222, 58, 279, 276, 49]","[41, 41, 5, 5, 32]","[2000.0, 500.0]",40.0,[16],18163.0,,,152.0,Decreasing
24391,Duellmanohyla rufioculis,Hylidae,Animalia,Chordata,Duellmanohyla,Amphibia,Duellmanohyla,45516016,"[2, 0]","[790.0, 1136.0]","[0, 8]","[474, 552, 248, 249, 451]","[33, 33, 222, 47, 33]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",92129.0,,,10.0,Decreasing
24462,Hemisus marmoratus,Hemisotidae,Animalia,Chordata,Hemisus,Amphibia,Hemisus,1056875,"[2, 0]",242.82,[8],"[227, 408, 229, 186, 139]","[1, 49, 29, 243, 257]",[32],"[2000.0, 500.0]",40.0,"[15, 16]",9834.0,902.0,810.0,,Decreasing
24501,Bombina orientalis,Bombinatoridae,Animalia,Chordata,Bombina,Amphibia,Bombina,1019232,"[2, 1, 3]",,[8],"[497, 470, 565, 218, 429]","[222, 19, 183, 104, 79]",[32],"[300.0, 80.0, 30.0, 500.0]",80.0,[8],,,,1.0,Stable
24832,Microhyla butleri,Microhylidae,Animalia,Chordata,Microhyla,Amphibia,Microhyla,289670,"[2, 1, 3]",,[10],"[227, 354, 186]","[1, 49, 29, 243, 29]","[17, 78, 42, 78, 32]","[300.0, 80.0, 500.0, 30.0]",80.0,[8],,853.0,809.0,,Decreasing
24994,Breviceps montanus,Brevicipitidae,Animalia,Chordata,Breviceps,Amphibia,Breviceps,45510944,"[2, 0]","[52.0, 58.5]","[7, 3]","[230, 470, 94, 91, 277]","[63, 57, 222, 118, 118]","[58, 32]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",1429229.0,,,,Decreasing
25003,Breviceps fuscus,Brevicipitidae,Animalia,Chordata,Breviceps,Amphibia,Breviceps,288942,"[2, 0]",,[],[],"[98, 108]",[],"[4000.0, 500.0]",,[16],333.0,,,2.0,nan
25094,Hamptophryne boliviana,Microhylidae,Animalia,Chordata,Hamptophryne,Amphibia,Hamptophryne,45517808,"[2, 0]",,[8],"[379, 103, 271, 54, 499]","[34, 72, 188, 98, 50]","[32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",135408.0,1710.0,1578.0,13.0,Stable
25383,Phrynobatrachus natalensis,Phrynobatrachidae,Animalia,Chordata,Phrynobatrachus,Amphibia,Phrynobatrachus,328555,"[2, 0]",,[8],"[461, 87, 171, 529, 280]","[126, 198, 222, 279, 276]","[82, 82, 17, 32]",,,"[9, 5, 13, 8]",,210.0,132.0,20.0,Unknown
25411,Cacosternum boettgeri,Pyxicephalidae,Animalia,Chordata,Cacosternum,Amphibia,Cacosternum,1055991,"[2, 0]",7625.55,[8],"[286, 440, 90, 414, 392]","[58, 22, 276, 49, 220]","[53, 32]","[150.0, 500.0]",50.0,"[3, 15, 0, 16]",852.0,,,,Stable
25603,Rana zhenhaiensis,Ranidae,Animalia,Chordata,Rana,Amphibia,Rana,40333679,"[2, 0]",,[8],[],"[237, 252, 251, 220, 200]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,,340.0,,Stable
25697,Rana graeca,Ranidae,Animalia,Chordata,Rana,Amphibia,Rana,793377,"[2, 0, 0]",383.77,[8],"[15, 42, 106, 545, 180]","[158, 172, 106, 252, 220]","[78, 32, 34]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",3250.0,,549.0,,Stable
25806,Tomopterna delalandii,Pyxicephalidae,Animalia,Chordata,Tomopterna,Amphibia,Tomopterna,45513833,"[2, 0]","[731.0, 813.0, 1000.0]",[8],"[275, 460, 448, 586, 343]","[246, 269, 231, 108, 24]","[52, 5, 52, 82, 12]","[5000.0, 1000.0]",20.0,"[11, 7, 11, 18, 12]",2951098.0,52127.0,46241.0,23.0,Unknown
25861,Occidozyga martensii,Dicroglossidae,Animalia,Chordata,Occidozyga,Amphibia,Occidozyga,1056034,"[2, 0, 0]",,[8],"[27, 150, 215, 503, 2]","[56, 9, 108, 247, 98]","[34, 32]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",1216.0,,785.0,,Stable
26159,Alligator mississippiensis,Alligatoridae,Animalia,Chordata,Alligator,Crocodylia,Alligator,289557,"[2, 0]","[200.0, 10.0, 200.0]","[0, 8]","[455, 22, 488, 235, 201]","[33, 110, 249, 256, 239]","[32, 32]",,,"[2, 9, 8]",,881.0,719.0,23.0,Stable
26527,Rhacophorus reinwardtii,Rhacophoridae,Animalia,Chordata,Rhacophorus,Amphibia,Rhacophorus,45516609,"[2, 0]",,[8],[],"[182, 256, 119, 110, 264]","[53, 64, 91, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",45679.0,681.0,616.0,10.0,Decreasing
26555,Polypedates maculatus,Rhacophoridae,Animalia,Chordata,Polypedates,Amphibia,Polypedates,45514798,"[2, 0]",43.0,[8],"[35, 108, 446, 571, 289]","[114, 12, 235, 108, 64]","[98, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",29935.0,,,,Stable
26691,Scaphiopus couchii,Scaphiopodidae,Animalia,Chordata,Scaphiopus,Amphibia,Scaphiopus,328009,"[2, 0]","[220000.0, 221000.0, 218000.0, 222000.0, 219000.0]","[0, 10, 1]","[396, 261, 166, 180, 281]","[252, 225, 220, 200, 144]","[42, 0, 89, 17, 91]",,,"[14, 8]",,2733.0,1810.0,22.0,Decreasing
26699,Spea bombifrons,Scaphiopodidae,Animalia,Chordata,Spea,Amphibia,Spea,45513628,"[2, 0]","[27.0, 28.0, 34.0, 33.5]",[8],"[270, 19, 518, 472, 104]","[165, 238, 105, 29, 103]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",1050718.0,,,,Decreasing
