id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
7920,Pachycephala rufiventris,Pachycephalidae,Animalia,Chordata,Pachycephala,Aves,Pachycephala,333441,"[2, 0]",,[8],"[253, 564, 7, 91, 160]","[126, 222, 279, 276, 126]","[6, 32]",,,[13],,458.0,382.0,5.0,Stable
8076,Artamus minor,Artamidae,Animalia,Chordata,Artamus,Aves,Artamus,45515072,"[2, 0]",55.0,[8],"[32, 105, 179, 289, 222]","[20, 12, 38, 186, 175]","[20, 82, 53, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",57291.0,1060.0,,7.0,Stable
8077,Artamus personatus,Artamidae,Animalia,Chordata,Artamus,Aves,Artamus,45515932,"[2, 0]","[5216.400000000001, 4010.0, 2716.0, 5050.0, 1920.0]",[8],"[227, 466, 274, 49, 287]","[223, 55, 209, 105, 8]","[33, 32, 17, 69, 14]","[5000.0, 1000.0]",20.0,"[11, 4, 11, 12]",184721.0,2315.0,1735.0,134.0,Decreasing
8079,Artamus fuscus,Artamidae,Animalia,Chordata,Artamus,Aves,Artamus,1018724,"[2, 0]",,[8],"[223, 173, 143, 276, 520]","[123, 123, 178, 4, 49]","[32, 34]",,,[13],,328.0,282.0,2.0,nan
8217,Laniarius bicolor,Malaconotidae,Animalia,Chordata,Laniarius,Aves,Laniarius,45515104,"[2, 0]",178.0,[8],"[462, 197, 140, 528, 527]","[212, 109, 232, 56, 49]","[53, 58, 32, 95, 71]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",7827.0,335.0,232.0,20.0,Decreasing
8269,Dicrurus forficatus,Dicruridae,Animalia,Chordata,Dicrurus,Aves,Dicrurus,58927346,[],,[],[],[],[],,,[],,,,,nan
8277,Dicrurus macrocercus,Dicruridae,Animalia,Chordata,Dicrurus,Aves,Dicrurus,916697,"[2, 0]",73.0,[8],"[239, 188, 132, 180, 438]","[122, 134, 177, 58, 22]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",13309.0,,,8.0,Decreasing
8399,Batis molitor,Platysteiridae,Animalia,Chordata,Batis,Aves,Batis,328651,"[2, 0]","[54213.0, 2952.67, 19516.67, 55766.67, 23900.0]",[8],"[199, 441, 33, 309, 4]","[82, 130, 222, 222, 279]","[54, 95, 82, 17, 56]",,,"[16, 14, 8]",,117162.0,55868.0,375.0,Stable
8446,Tchagra australis,Malaconotidae,Animalia,Chordata,Tchagra,Aves,Tchagra,1018152,"[2, 3, 1]",,"[8, 3]","[470, 569, 259, 497, 565]","[222, 279, 199, 205, 215]","[32, 5, 58, 56, 32]","[300.0, 80.0, 30.0, 500.0]",80.0,[8],,2285.0,2124.0,18.0,Stable
8454,Platysteira cyanea,Platysteiridae,Animalia,Chordata,Platysteira,Aves,Platysteira,1024245,"[2, 0]",,[8],[],"[50, 50]","[78, 42, 34, 32]",,,[13],,162.0,156.0,,Stable
8520,Nucifraga columbiana,Corvidae,Animalia,Chordata,Nucifraga,Aves,Nucifraga,311657,"[2, 0]","[925.0, 816.67, 797.93]",[8],"[461, 4, 417, 299]","[82, 126, 87, 71, 95]","[65, 15, 40, 17, 56]",,,"[9, 5, 8]",,1570.0,1482.0,227.0,Decreasing
8705,Pachyramphus castaneus,Cotingidae,Animalia,Chordata,Pachyramphus,Aves,Pachyramphus,45515518,"[2, 0]","[74.0, 76.0]",[8],"[289, 528, 179, 348]","[175, 112, 191, 232, 56]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",7792.0,,,2.0,Stable
8847,Procnias tricarunculatus,Cotingidae,Animalia,Chordata,Procnias,Aves,Procnias,1051691,"[2, 0]",11.0,[],"[305, 360, 157, 399, 120]","[173, 239, 204, 33, 185]","[53, 43]","[1000.0, 5000.0]",10.0,"[11, 12]",37648.0,432.0,360.0,,nan
8909,Cotinga cayana,Cotingidae,Animalia,Chordata,Cotinga,Aves,Cotinga,45511898,"[2, 0]",,[8],[],"[57, 154, 222, 258, 134]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,4045.0,3880.0,,Decreasing
8912,Cotinga nattererii,Cotingidae,Animalia,Chordata,Cotinga,Aves,Cotinga,45509870,"[2, 0]",,[8],"[15, 242, 211]","[252, 58, 122, 177, 252]","[43, 53, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",9033.0,,,,Decreasing
9081,Cardinalis sinuatus,Cardinalidae,Animalia,Chordata,Cardinalis,Aves,Cardinalis,1056874,"[2, 0]",102.75,"[0, 8]",[504],"[114, 56, 114, 114]",[32],"[500.0, 200.0]",80.0,[16],141.0,,,,Stable
9083,Cardinalis cardinalis,Cardinalidae,Animalia,Chordata,Cardinalis,Aves,Cardinalis,52571401,"[2, 0]",,[8],[],[34],[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,,,2.0,Stable
