Species ID,Trait,Trait Value
962419,are preyed upon by,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,are preyed upon by,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,are preyed upon by,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,are preyed upon by,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,are preyed upon by,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,are preyed upon by,NHMUK
962419,are preyed upon by,NHMUK
962419,are preyed upon by,NHMUK
962419,are preyed upon by,NHMUK
962419,are preyed upon by,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,auditory system,otolithsURI:https://www.wikidata.org/entity/Q591800Definition:Inner-ear structure in vertebrates which detects acceleration and may detect acoustic signalsshow all records
962419,auditory system,"tympanic middle earURI:http://purl.obolibrary.org/obo/UBERON_0001756Definition:the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner earshow all records"
962419,auditory system,"tympanic middle earURI:http://purl.obolibrary.org/obo/UBERON_0001756Definition:the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner earshow all records"
962419,auditory system,multicellularURI:http://purl.obolibrary.org/obo/PATO_0001993Definition:A cellularity quality inhering in a bearer by virtue of the bearers consisting of more than one cell. [ PATOC:GVG ]show all records
962419,auditory system,"least concernURI:http://eol.org/schema/terms/leastConcernDefinition:A taxon is Least Concern when it has been evaluated against the criteria and does not qualify for Critically Endangered, Endangered, Vulnerable or Near Threatened. Widespread and abundant taxa are included in this category.Attribution:http://www.iucnredlist.org/technical-documents/categories-and-criteriashow all records"
962419,auditory system,Pavo cristatus Linnaeus 1758 (Asiatic peafowl)
962419,auditory system,Knysna-Amatole Montane ForestsURI:http://eol.org/schema/terms/Knysna-Amatole_montane_forestsAttribution:https://www.worldwildlife.org/ecoregions/at0115show all records
962419,auditory system,Serengeti Volcanic GrasslandsURI:http://eol.org/schema/terms/Serengeti_volcanic_grasslandsAttribution:https://www.worldwildlife.org/ecoregions/at0714show all records
962419,auditory system,Zambezian Baikiaea WoodlandsURI:http://eol.org/schema/terms/Zambezian_Baikiaea_woodlandsAttribution:https://www.worldwildlife.org/ecoregions/at0726show all records
962419,auditory system,Northern Acacia-Commiphora Bushlands And ThicketsURI:http://eol.org/schema/terms/Northern_Acacia-Commiphora_bushlands_and_thicketsAttribution:https://www.worldwildlife.org/ecoregions/at0711show all records
962419,auditory system,Itigi-Sumbu ThicketURI:http://eol.org/schema/terms/Itigi-Sumbu_thicketAttribution:https://www.worldwildlife.org/ecoregions/at0708show all records
962419,auditory system,MozambiqueURI:https://www.geonames.org/1036973show all records
962419,auditory system,AfrotropicsURI:http://eol.org/schema/terms/AfrotropicalAttribution:https://www.oneearth.org/realms/afrotropics/show all records
962419,auditory system,South AtlanticURI:http://www.marineregions.org/mrgid/1914show all records
962419,auditory system,Indian OceanURI:http://www.marineregions.org/mrgid/1904show all records
962419,auditory system,ZimbabweURI:http://www.geonames.org/878675show all records
962419,auditory system,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,auditory system,Hexametra quadricornis
962419,auditory system,200 Hz
962419,auditory system,1000 Hz
962419,auditory system,1000 Hz
962419,auditory system,300 Hz
962419,auditory system,60 dB
962419,auditory system,8.3 years
962419,auditory system,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,auditory system,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,auditory system,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,auditory system,1946
962419,auditory system,1458
962419,auditory system,1398
962419,auditory system,Unknown
962419,auditory system,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,auditory system,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,auditory system,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,auditory system,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,auditory system,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,auditory system,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,auditory system,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,auditory system,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,auditory system,NHMUK
962419,auditory system,NHMUK
962419,auditory system,NHMUK
962419,auditory system,NHMUK
962419,auditory system,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,cellularity,multicellularURI:http://purl.obolibrary.org/obo/PATO_0001993Definition:A cellularity quality inhering in a bearer by virtue of the bearers consisting of more than one cell. [ PATOC:GVG ]show all records
962419,cellularity,"least concernURI:http://eol.org/schema/terms/leastConcernDefinition:A taxon is Least Concern when it has been evaluated against the criteria and does not qualify for Critically Endangered, Endangered, Vulnerable or Near Threatened. Widespread and abundant taxa are included in this category.Attribution:http://www.iucnredlist.org/technical-documents/categories-and-criteriashow all records"
962419,cellularity,Pavo cristatus Linnaeus 1758 (Asiatic peafowl)
962419,cellularity,Knysna-Amatole Montane ForestsURI:http://eol.org/schema/terms/Knysna-Amatole_montane_forestsAttribution:https://www.worldwildlife.org/ecoregions/at0115show all records
962419,cellularity,Serengeti Volcanic GrasslandsURI:http://eol.org/schema/terms/Serengeti_volcanic_grasslandsAttribution:https://www.worldwildlife.org/ecoregions/at0714show all records
962419,cellularity,Zambezian Baikiaea WoodlandsURI:http://eol.org/schema/terms/Zambezian_Baikiaea_woodlandsAttribution:https://www.worldwildlife.org/ecoregions/at0726show all records
962419,cellularity,Northern Acacia-Commiphora Bushlands And ThicketsURI:http://eol.org/schema/terms/Northern_Acacia-Commiphora_bushlands_and_thicketsAttribution:https://www.worldwildlife.org/ecoregions/at0711show all records
962419,cellularity,Itigi-Sumbu ThicketURI:http://eol.org/schema/terms/Itigi-Sumbu_thicketAttribution:https://www.worldwildlife.org/ecoregions/at0708show all records
962419,cellularity,MozambiqueURI:https://www.geonames.org/1036973show all records
962419,cellularity,AfrotropicsURI:http://eol.org/schema/terms/AfrotropicalAttribution:https://www.oneearth.org/realms/afrotropics/show all records
962419,cellularity,South AtlanticURI:http://www.marineregions.org/mrgid/1914show all records
962419,cellularity,Indian OceanURI:http://www.marineregions.org/mrgid/1904show all records
962419,cellularity,ZimbabweURI:http://www.geonames.org/878675show all records
962419,cellularity,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,cellularity,Hexametra quadricornis
962419,cellularity,200 Hz
962419,cellularity,1000 Hz
962419,cellularity,1000 Hz
962419,cellularity,300 Hz
962419,cellularity,60 dB
962419,cellularity,8.3 years
962419,cellularity,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,cellularity,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,cellularity,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,cellularity,1946
962419,cellularity,1458
962419,cellularity,1398
962419,cellularity,Unknown
962419,cellularity,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,cellularity,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,cellularity,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,cellularity,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,cellularity,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,cellularity,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,cellularity,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,cellularity,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,cellularity,NHMUK
962419,cellularity,NHMUK
962419,cellularity,NHMUK
962419,cellularity,NHMUK
962419,cellularity,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,conservation status,"least concernURI:http://eol.org/schema/terms/leastConcernDefinition:A taxon is Least Concern when it has been evaluated against the criteria and does not qualify for Critically Endangered, Endangered, Vulnerable or Near Threatened. Widespread and abundant taxa are included in this category.Attribution:http://www.iucnredlist.org/technical-documents/categories-and-criteriashow all records"
962419,conservation status,Pavo cristatus Linnaeus 1758 (Asiatic peafowl)
962419,conservation status,Knysna-Amatole Montane ForestsURI:http://eol.org/schema/terms/Knysna-Amatole_montane_forestsAttribution:https://www.worldwildlife.org/ecoregions/at0115show all records
962419,conservation status,Serengeti Volcanic GrasslandsURI:http://eol.org/schema/terms/Serengeti_volcanic_grasslandsAttribution:https://www.worldwildlife.org/ecoregions/at0714show all records
962419,conservation status,Zambezian Baikiaea WoodlandsURI:http://eol.org/schema/terms/Zambezian_Baikiaea_woodlandsAttribution:https://www.worldwildlife.org/ecoregions/at0726show all records
962419,conservation status,Northern Acacia-Commiphora Bushlands And ThicketsURI:http://eol.org/schema/terms/Northern_Acacia-Commiphora_bushlands_and_thicketsAttribution:https://www.worldwildlife.org/ecoregions/at0711show all records
962419,conservation status,Itigi-Sumbu ThicketURI:http://eol.org/schema/terms/Itigi-Sumbu_thicketAttribution:https://www.worldwildlife.org/ecoregions/at0708show all records
962419,conservation status,MozambiqueURI:https://www.geonames.org/1036973show all records
962419,conservation status,AfrotropicsURI:http://eol.org/schema/terms/AfrotropicalAttribution:https://www.oneearth.org/realms/afrotropics/show all records
962419,conservation status,South AtlanticURI:http://www.marineregions.org/mrgid/1914show all records
962419,conservation status,Indian OceanURI:http://www.marineregions.org/mrgid/1904show all records
962419,conservation status,ZimbabweURI:http://www.geonames.org/878675show all records
962419,conservation status,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,conservation status,Hexametra quadricornis
962419,conservation status,200 Hz
962419,conservation status,1000 Hz
962419,conservation status,1000 Hz
962419,conservation status,300 Hz
962419,conservation status,60 dB
962419,conservation status,8.3 years
962419,conservation status,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,conservation status,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,conservation status,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,conservation status,1946
962419,conservation status,1458
962419,conservation status,1398
962419,conservation status,Unknown
962419,conservation status,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,conservation status,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,conservation status,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,conservation status,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,conservation status,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,conservation status,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,conservation status,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,conservation status,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,conservation status,NHMUK
962419,conservation status,NHMUK
962419,conservation status,NHMUK
962419,conservation status,NHMUK
962419,conservation status,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,eat,Pavo cristatus Linnaeus 1758 (Asiatic peafowl)
962419,eat,Knysna-Amatole Montane ForestsURI:http://eol.org/schema/terms/Knysna-Amatole_montane_forestsAttribution:https://www.worldwildlife.org/ecoregions/at0115show all records
962419,eat,Serengeti Volcanic GrasslandsURI:http://eol.org/schema/terms/Serengeti_volcanic_grasslandsAttribution:https://www.worldwildlife.org/ecoregions/at0714show all records
962419,eat,Zambezian Baikiaea WoodlandsURI:http://eol.org/schema/terms/Zambezian_Baikiaea_woodlandsAttribution:https://www.worldwildlife.org/ecoregions/at0726show all records
962419,eat,Northern Acacia-Commiphora Bushlands And ThicketsURI:http://eol.org/schema/terms/Northern_Acacia-Commiphora_bushlands_and_thicketsAttribution:https://www.worldwildlife.org/ecoregions/at0711show all records
962419,eat,Itigi-Sumbu ThicketURI:http://eol.org/schema/terms/Itigi-Sumbu_thicketAttribution:https://www.worldwildlife.org/ecoregions/at0708show all records
962419,eat,MozambiqueURI:https://www.geonames.org/1036973show all records
962419,eat,AfrotropicsURI:http://eol.org/schema/terms/AfrotropicalAttribution:https://www.oneearth.org/realms/afrotropics/show all records
962419,eat,South AtlanticURI:http://www.marineregions.org/mrgid/1914show all records
962419,eat,Indian OceanURI:http://www.marineregions.org/mrgid/1904show all records
962419,eat,ZimbabweURI:http://www.geonames.org/878675show all records
962419,eat,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,eat,Hexametra quadricornis
962419,eat,200 Hz
962419,eat,1000 Hz
962419,eat,1000 Hz
962419,eat,300 Hz
962419,eat,60 dB
962419,eat,8.3 years
962419,eat,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,eat,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,eat,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,eat,1946
962419,eat,1458
962419,eat,1398
962419,eat,Unknown
962419,eat,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,eat,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,eat,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,eat,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,eat,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,eat,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,eat,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,eat,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,eat,NHMUK
962419,eat,NHMUK
962419,eat,NHMUK
962419,eat,NHMUK
962419,eat,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,ecoregion,Knysna-Amatole Montane ForestsURI:http://eol.org/schema/terms/Knysna-Amatole_montane_forestsAttribution:https://www.worldwildlife.org/ecoregions/at0115show all records
962419,ecoregion,Serengeti Volcanic GrasslandsURI:http://eol.org/schema/terms/Serengeti_volcanic_grasslandsAttribution:https://www.worldwildlife.org/ecoregions/at0714show all records
962419,ecoregion,Zambezian Baikiaea WoodlandsURI:http://eol.org/schema/terms/Zambezian_Baikiaea_woodlandsAttribution:https://www.worldwildlife.org/ecoregions/at0726show all records
962419,ecoregion,Northern Acacia-Commiphora Bushlands And ThicketsURI:http://eol.org/schema/terms/Northern_Acacia-Commiphora_bushlands_and_thicketsAttribution:https://www.worldwildlife.org/ecoregions/at0711show all records
962419,ecoregion,Itigi-Sumbu ThicketURI:http://eol.org/schema/terms/Itigi-Sumbu_thicketAttribution:https://www.worldwildlife.org/ecoregions/at0708show all records
962419,ecoregion,MozambiqueURI:https://www.geonames.org/1036973show all records
962419,ecoregion,AfrotropicsURI:http://eol.org/schema/terms/AfrotropicalAttribution:https://www.oneearth.org/realms/afrotropics/show all records
962419,ecoregion,South AtlanticURI:http://www.marineregions.org/mrgid/1914show all records
962419,ecoregion,Indian OceanURI:http://www.marineregions.org/mrgid/1904show all records
962419,ecoregion,ZimbabweURI:http://www.geonames.org/878675show all records
962419,ecoregion,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,ecoregion,Hexametra quadricornis
962419,ecoregion,200 Hz
962419,ecoregion,1000 Hz
962419,ecoregion,1000 Hz
962419,ecoregion,300 Hz
962419,ecoregion,60 dB
962419,ecoregion,8.3 years
962419,ecoregion,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,ecoregion,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,ecoregion,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,ecoregion,1946
962419,ecoregion,1458
962419,ecoregion,1398
962419,ecoregion,Unknown
962419,ecoregion,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,ecoregion,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,ecoregion,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,ecoregion,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,ecoregion,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,ecoregion,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,ecoregion,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,ecoregion,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,ecoregion,NHMUK
962419,ecoregion,NHMUK
962419,ecoregion,NHMUK
962419,ecoregion,NHMUK
962419,ecoregion,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,geographic distribution,MozambiqueURI:https://www.geonames.org/1036973show all records
962419,geographic distribution,AfrotropicsURI:http://eol.org/schema/terms/AfrotropicalAttribution:https://www.oneearth.org/realms/afrotropics/show all records
962419,geographic distribution,South AtlanticURI:http://www.marineregions.org/mrgid/1914show all records
962419,geographic distribution,Indian OceanURI:http://www.marineregions.org/mrgid/1904show all records
962419,geographic distribution,ZimbabweURI:http://www.geonames.org/878675show all records
962419,geographic distribution,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,geographic distribution,Hexametra quadricornis
962419,geographic distribution,200 Hz
962419,geographic distribution,1000 Hz
962419,geographic distribution,1000 Hz
962419,geographic distribution,300 Hz
962419,geographic distribution,60 dB
962419,geographic distribution,8.3 years
962419,geographic distribution,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,geographic distribution,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,geographic distribution,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,geographic distribution,1946
962419,geographic distribution,1458
962419,geographic distribution,1398
962419,geographic distribution,Unknown
962419,geographic distribution,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,geographic distribution,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,geographic distribution,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,geographic distribution,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,geographic distribution,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,geographic distribution,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,geographic distribution,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,geographic distribution,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,geographic distribution,NHMUK
962419,geographic distribution,NHMUK
962419,geographic distribution,NHMUK
962419,geographic distribution,NHMUK
962419,geographic distribution,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,habitat,terrestrialURI:http://purl.obolibrary.org/obo/ENVO_00000446Definition:A biome that applies to the terrestrial realm.show all records
962419,habitat,Hexametra quadricornis
962419,habitat,200 Hz
962419,habitat,1000 Hz
962419,habitat,1000 Hz
962419,habitat,300 Hz
962419,habitat,60 dB
962419,habitat,8.3 years
962419,habitat,concertinaURI:https://www.wikidata.org/entity/Q5158542Definition:movement occurring in snakes and other legless organisms that consists of gripping or anchoring with portions of the body while pulling or pushing other sections in the direction of movementshow all records
962419,habitat,"undulatoryURI:https://www.wikidata.org/entity/Q7884068Definition:motion characterized by wave-like movement patterns that act to propel an animal forward. eg: crawling in snakes, or swimming in the lamprey. Typically utilized by limbless animalsshow all records"
962419,habitat,"apatiteURI:http://purl.obolibrary.org/obo/CHEBI_52254Definition:A phosphate mineral with the general formula Ca5(PO4)3X where X = OH, F or Clshow all records"
962419,habitat,1946
962419,habitat,1458
962419,habitat,1398
962419,habitat,Unknown
962419,habitat,Numida meleagris (Linnaeus 1758) (Helmeted Guineafowl)
962419,habitat,Chroicocephalus hartlaubii (Bruch 1855) (Hartlaub's Gull)
962419,habitat,Strongylopus grayii (Smith 1849) (Gray's Stream Frog)
962419,habitat,Ploceus capensis (Linnaeus 1766) (Cape Weaver)
962419,habitat,Haematopus moquini Bonaparte 1856 (African Black Oystercatcher)
962419,habitat,"sexual reproductionURI:http://purl.obolibrary.org/obo/GO_0019953Definition:Capable of creating a new organism by combining the genetic material of two gametes, which may come from two parent organisms or from a single organism, in the case of self-fertilizing hermaphrodites.show all records"
962419,habitat,"dioeciousURI:https://www.wikidata.org/entity/Q148681Definition:a characteristic of a species, meaning that it has distinct male and female individual organisms.show all records"
962419,habitat,Swedish Museum of Natural History - Zoological CollectionsURI:http://grbio.org/cool/4m0z-xq14show all records
962419,habitat,NHMUK
962419,habitat,NHMUK
962419,habitat,NHMUK
962419,habitat,NHMUK
962419,habitat,"corneal eyesURI:https://eol.org/schema/terms/corneal_eyesDefinition:Because of the difference in refractive index between air and water (or corneal tissue), a curved cornea is an image-forming lens in its own right. Its focal length is determined by the radius of curvature of the cornea. Many corneal eyes (eg: in land vertebrates) also have lenses, but the lens is flattened and weakened compared with an aquatic lens; most of the refractive power is provided by the cornea. Corneal eyes cannot focus in aquatic habitat.Attribution:https://www.britannica.com/science/photoreception/Single-chambered-eyes#ref278820show all records"
962419,have endoparasite,Hexametra quadricornis
962419,have endoparasite,200 Hz
