id,scientific_name,family,kingdom,phylum,parent,class,genus
4309,Phalacrocorax neglectus,Phalacrocoracidae,Animalia,Chordata,Phalacrocorax,Aves,Phalacrocorax
9771,Pinicola enucleator,Fringillidae,Animalia,Chordata,Pinicola,Aves,Pinicola
32093,Boa constrictor,Boidae,Animalia,Chordata,Boa,Squamata,Boa
472799,Bambusicola sonorivox,Phasianidae,Animalia,Chordata,Bambusicola,Aves,Bambusicola
73224,Phoenicurus erythrogastrus,Muscicapidae,Animalia,Chordata,Phoenicurus,Aves,Phoenicurus
12329,Philemon corniculatus,Meliphagidae,Animalia,Chordata,Philemon,Aves,Philemon
24379,Osteopilus dominicensis,Hylidae,Animalia,Chordata,Osteopilus,Amphibia,Osteopilus
13820,Ploceus xanthops,Ploceidae,Animalia,Chordata,Ploceus,Aves,Ploceus
32861,Trioceros deremensis,Chamaeleonidae,Animalia,Chordata,Trioceros,Squamata,Trioceros
438022,Petroica boodang,Petroicidae,Animalia,Chordata,Petroica,Aves,Petroica
35161,Pseudechis australis,Elapidae,Animalia,Chordata,Pseudechis,Squamata,Pseudechis
1692,Centropus phasianinus,Cuculidae,Animalia,Chordata,Centropus,Aves,Centropus
43759,Bathyergus suillus,Bathyergidae,Animalia,Chordata,Bathyergus,Mammalia,Bathyergus
204473,Calandrella cinerea,Alaudidae,Animalia,Chordata,Calandrella,Aves,Calandrella
23570,Litoria verreauxii,Pelodryadidae,Animalia,Chordata,Litoria,Amphibia,Litoria
3734,Platalea alba,Threskiornithidae,Animalia,Chordata,Platalea,Aves,Platalea
4535,Anous stolidus,Laridae,Animalia,Chordata,Anous,Aves,Anous
6976,Anas sparsa,Anatidae,Animalia,Chordata,Anas,Aves,Anas
28948,Pseudaspis cana,Pseudaspididae,Animalia,Chordata,Pseudaspis,Squamata,Pseudaspis
96386,Cacomantis passerinus,Cuculidae,Animalia,Chordata,Cacomantis,Aves,Cacomantis
43145,Lepus townsendii,Leporidae,Animalia,Chordata,Lepus,Mammalia,Lepus
5920,Heliodoxa aurescens,Trochilidae,Animalia,Chordata,Heliodoxa,Aves,Heliodoxa
17174,Tachuris rubrigastra,Tyrannidae,Animalia,Chordata,Tachuris,Aves,Tachuris
73475,Tchagra senegalus,Malaconotidae,Animalia,Chordata,Tchagra,Aves,Tchagra
29976,Helicops angulatus,Colubridae,Animalia,Chordata,Helicops,Squamata,Helicops
41090,Glossophaga soricina,Phyllostomidae,Animalia,Chordata,Glossophaga,Mammalia,Glossophaga
7497,Polioptila californica,Polioptilidae,Animalia,Chordata,Polioptila,Aves,Polioptila
41774,Eira barbara,Mustelidae,Animalia,Chordata,Eira,Mammalia,Eira
8277,Dicrurus macrocercus,Dicruridae,Animalia,Chordata,Dicrurus,Aves,Dicrurus
27123,Eurycea lucifuga,Plethodontidae,Animalia,Chordata,Eurycea,Amphibia,Eurycea
144659,Coracias naevius,Coraciidae,Animalia,Chordata,Coracias,Aves,Coracias
17009,Sayornis saya,Tyrannidae,Animalia,Chordata,Sayornis,Aves,Sayornis
1264,Centrocercus urophasianus,Phasianidae,Animalia,Chordata,Centrocercus,Aves,Centrocercus
9152,Spizella pusilla,Passerellidae,Animalia,Chordata,Spizella,Aves,Spizella
36315,Phrynosoma hernandesi,Phrynosomatidae,Animalia,Chordata,Phrynosoma,Squamata,Phrynosoma
31244,Ctenophorus fionni,Agamidae,Animalia,Chordata,Ctenophorus,Squamata,Ctenophorus
27225,Plethodon dorsalis,Plethodontidae,Animalia,Chordata,Plethodon,Amphibia,Plethodon
9549,Tangara cyanocephala,Thraupidae,Animalia,Chordata,Tangara,Aves,Tangara
8446,Tchagra australis,Malaconotidae,Animalia,Chordata,Tchagra,Aves,Tchagra
8079,Artamus fuscus,Artamidae,Animalia,Chordata,Artamus,Aves,Artamus
201113,Lalage melanoptera,Campephagidae,Animalia,Chordata,Coracina,Aves,Coracina
37431,Trachylepis homalocephala,Scincidae,Animalia,Chordata,Trachylepis,Squamata,Trachylepis
23968,Hyla chinensis,Hylidae,Animalia,Chordata,Hyla,Amphibia,Hyla
14012,Vidua regia,Viduidae,Animalia,Chordata,Vidua,Aves,Vidua
37465,Tiliqua occipitalis,Scincidae,Animalia,Chordata,Tiliqua,Squamata,Tiliqua
43375,Callithrix aurita,Callitrichidae,Animalia,Chordata,Callithrix,Mammalia,Callithrix
