lat_grid,long_grid,BIO1,BIO5,BI06,BIO12,BIO15,gridID,habitat
-75.5,-103.0,-13.720437049865724,-1.2074999809265137,-24.105499267578125,790.0,50.1833610534668,0,3
-75.5,-0.5,-32.5516242980957,-15.046000480651855,-43.90349960327149,83.0,110.8362045288086,1,3
-68.0,-68.5,-4.754166603088379,3.1312499046325684,-14.678750038146973,381.0,48.19338607788086,2,3
-67.0,162.5,-8.16704273223877,1.3414676984151204,-16.777188618977863,488.6666666666667,44.93763860066732,3,3
-66.0,-66.5,-3.1875,3.3333332538604736,-12.133333206176758,672.0,26.278549194335938,4,3
-65.5,-64.5,-4.229745388031006,2.343055486679077,-12.31666660308838,845.0,26.817689895629883,5,3
-65.5,-64.0,-5.320579051971436,1.623004674911499,-13.418310165405272,791.0,34.423980712890625,6,3
-65.0,-64.5,-3.9538004398345934,2.5225274562835693,-11.471428871154783,858.0,33.16347885131836,7,3
-65.0,-63.0,-5.644849731808617,0.7849785288174947,-13.559941337222146,770.3333333333334,33.037930079868865,8,3
-65.0,-62.5,-4.396969795227051,1.7676767110824585,-12.026262283325195,693.0,33.19744110107422,9,3
-65.0,-62.0,-10.503731727600098,-3.820887804031372,-18.753786087036133,491.0,41.800079345703125,10,3
-64.5,-63.5,-2.6914772987365723,3.5977272987365723,-10.665908813476562,1011.0,30.85785865783692,11,3
-64.5,-63.0,-2.920277833938598,3.443333387374878,-11.130000114440918,1084.0,26.25386047363281,12,3
-64.5,-62.0,-4.086111068725586,2.1666666666666665,-11.799999872843424,605.0,38.669136047363274,13,3
-64.5,-61.0,-6.275879859924316,0.2596273422241211,-14.198136329650882,422.0,40.3936767578125,14,3
-64.0,-61.0,-5.778951168060303,0.5036217421293259,-13.427425861358643,440.0,31.787300109863285,15,3
-64.0,-60.0,-6.272595405578613,0.019191920757293812,-14.004511833190918,385.5,34.868584632873535,16,3
-63.5,-58.5,-5.325253486633301,1.1582608222961426,-13.212173461914062,558.0,28.817018508911133,17,3
-63.5,-58.0,-4.262291431427002,2.1700000762939453,-11.979999542236328,753.0,25.90610885620117,18,3
-63.5,-57.5,-6.162843227386475,1.3456928730010986,-15.119101524353027,691.0,13.271291732788086,19,3
-63.5,-57.0,-5.753378391265869,2.40135145187378,-15.490540504455566,622.0,13.763622283935549,20,3
-63.0,-61.5,-3.3694443702697754,2.564197540283203,-10.585185050964355,555.0,28.86564064025879,21,3
-63.0,-61.0,-3.9354957497638203,1.6672828404799755,-11.293835017992103,448.6521739130435,28.72102463763693,22,3
-63.0,-60.5,-3.581223964691162,1.875,-10.836874961853027,517.0,27.807037353515625,23,3
-63.0,-60.0,-3.026257411027566,2.2064943496997538,-9.989105713673126,631.4615384615385,24.199353193625427,24,3
-62.5,-61.0,-3.1531944274902344,2.2066667079925537,-10.31666660308838,524.0,28.976337432861328,25,3
-62.5,-60.0,-2.687187433242798,2.5762500762939453,-9.66374969482422,673.0,21.94977188110352,26,3
-62.5,-59.5,-2.937020301818848,2.2712230682373047,-9.881295204162598,686.0,19.885395050048828,27,3
-62.5,-59.0,-2.821075773239136,2.409700345993042,-9.730284881591796,789.6,21.697365951538085,28,3
-62.5,-58.5,-3.9495208263397217,1.7870099544525146,-11.322899436950683,796.2,21.38100242614746,29,3
-62.5,-58.0,-3.8194339275360094,2.312213659286499,-11.533587455749512,805.0,19.74025154113769,30,3
-62.0,-58.0,-4.046846866607666,2.024864912033081,-11.666486740112305,831.0,18.501604080200195,31,3
-61.5,-55.5,-4.640926440556844,2.4946526487668357,-13.737759908040365,652.5,21.54910182952881,32,3
-61.5,-55.0,-4.801631331443787,2.3921642303466797,-13.93303632736206,635.5,24.033137798309326,33,3
-61.0,-46.5,-5.568333148956299,1.2200000286102295,-16.46000099182129,645.0,24.996517181396484,34,3
-61.0,-45.5,-6.039708614349365,0.820218563079834,-17.212568283081055,609.0,32.1253547668457,35,3
-61.0,-45.0,-3.6107704639434814,2.926415205001831,-14.303773880004885,723.0,20.57077980041504,36,3
-56.0,-67.5,4.551289081573486,10.763309478759766,-1.1597121953964231,971.0,20.277050018310547,37,1
-55.5,-69.5,3.7508420944213854,10.849202156066896,-2.317021369934082,914.0,13.933510780334473,38,1
-55.0,-69.0,4.148845257966415,11.432162284851074,-2.2835881917372993,623.8260869565217,13.70643433280613,39,1
-55.0,-68.5,4.007009694742602,11.484533487364303,-2.6297621006189393,583.3720930232558,15.726668867953988,40,1
-55.0,-68.0,3.754325662340437,11.406632559640068,-3.0911631924765453,611.8571428571429,21.09987231663295,41,1
-55.0,-67.5,4.817135334014893,12.57925033569336,-2.1112499237060547,524.0,22.23147392272949,42,1
-55.0,-36.5,-1.2469395399093628,3.809734582901001,-8.027138710021973,1606.0,13.985799789428713,43,3
